,expiry,last
0,2019-01-03,
0,2019-01-10,
0,2019-01-17,
0,2019-01-24,
0,2019-01-31,Y
0,2019-01-07,
1,2019-02-14,
2,2019-02-21,
3,2019-02-28,Y
4,2019-03-07,
5,2019-03-14,
6,2019-03-20,
7,2019-03-28,Y
8,2019-04-04,
9,2019-04-11,
10,2019-04-18,
11,2019-04-25,Y
12,2019-05-02,
13,2019-05-09,
14,2019-05-16,
15,2019-05-23,
16,2019-05-30,Y
17,2019-06-06,
18,2019-06-13,
19,2019-06-20,
20,2019-06-27,Y
21,2019-07-04,
22,2019-07-11,
23,2019-07-18,
24,2019-07-25,Y
25,2019-08-01,
26,2019-08-08,
27,2019-08-14,
28,2019-08-22,
29,2019-08-29,Y
30,2019-09-05,
31,2019-09-12,
32,2019-09-19,
33,2019-09-26,Y
34,2019-10-03,
35,2019-10-10,
36,2019-10-17,
37,2019-10-24,
38,2019-10-31,Y
39,2019-11-07,
40,2019-11-14,
41,2019-11-21,
42,2019-11-28,Y
43,2019-12-05,
44,2019-12-12,
45,2019-12-19,
46,2019-12-26,Y
47,2020-01-02,
48,2020-01-09,
49,2020-01-16,
50,2020-01-23,
51,2020-01-30,Y
52,2020-02-06,
53,2020-02-13,
54,2020-02-20,
55,2020-02-27,Y
56,2020-03-05,
57,2020-03-12,
58,2020-03-19,
59,2020-03-26,Y
60,2020-04-01,
61,2020-04-09,
62,2020-04-16,
63,2020-04-23,
64,2020-04-30,Y
65,2020-05-07,
66,2020-05-14,
67,2020-05-21,
68,2020-05-28,Y
69,2020-06-04,
70,2020-06-11,
71,2020-06-18,
72,2020-06-25,Y
73,2020-07-02,
74,2020-07-09,
75,2020-07-16,
76,2020-07-23,
77,2020-07-30,Y
78,2020-08-06,
79,2020-08-13,
80,2020-08-20,
81,2020-08-27,Y
82,2020-09-03,
83,2020-09-10,
84,2020-09-17,
85,2020-09-24,Y
86,2020-10-01,
87,2020-10-08,
88,2020-10-15,
89,2020-10-22,
90,2020-10-29,Y
91,2020-11-05,
92,2020-11-12,
93,2020-11-19,
94,2020-11-26,Y
95,2020-12-03,
96,2020-12-10,
97,2020-12-17,
98,2020-12-24,
99,2020-12-31,Y
100,2021-01-07,
101,2021-01-14,
102,2021-01-21,
103,2021-01-28,Y
104,2021-02-04,
105,2021-02-11,
106,2021-02-18,
107,2021-02-25,Y
108,2021-03-04,
109,2021-03-10,
110,2021-03-18,
111,2021-03-25,Y
112,2021-04-01,
113,2021-04-08,
114,2021-04-15,
115,2021-04-22,
116,2021-04-29,Y
117,2021-05-06,
118,2021-05-12,
119,2021-05-20,
120,2021-05-27,Y
121,2021-06-03,
122,2021-06-10,
123,2021-06-17,
124,2021-06-24,Y
125,2021-07-01,
126,2021-07-08,
127,2021-07-15,
128,2021-07-22,
129,2021-07-29,Y
130,2021-08-05,
131,2021-08-12,
132,2021-08-18,
133,2021-08-26,Y
134,2021-09-02,
135,2021-09-09,
136,2021-09-16,
137,2021-09-23,
138,2021-09-30,Y
139,2021-10-07,
140,2021-10-14,
141,2021-10-21,
142,2021-10-28,Y
143,2021-11-03,
144,2021-11-11,
145,2021-11-18,
146,2021-11-25,Y
147,2021-12-02,
148,2021-12-09,
149,2021-12-16,
150,2021-12-23,
151,2021-12-30,Y
152,2022-01-06,
153,2022-01-13,
154,2022-01-20,
154,2022-01-27,Y
154,2022-02-03,
154,2022-02-10,
154,2022-02-17
154,2022-02-24,Y
154,2022-03-03,
154,2022-03-10,
154,2022-03-17,
154,2022-03-24,
154,2022-03-31,Y
154,2022-04-07,
154,2022-04-13,
154,2022-04-21,
154,2022-04-28,Y